League,MemberCount,BingoLine1RewardPoints,BingoLine2RewardPoints,BingoLine3RewardPoints,MinBingoTasks,MaxBingoTasks,MaxComboTasks
String,String,int,int,int,int,int,int
League1,1,160,224,314,1,1,0
,2,192,269,377,1,1,0
,3,224,314,440,1,1,0
,4,256,359,503,1,1,0
,5,288,404,566,1,1,0
,6,320,448,628,1,2,0
,7,352,493,691,1,2,0
,8,384,538,754,1,2,0
,9,416,583,817,2,3,0
,10,448,628,880,2,3,0
,11,480,672,941,2,3,0
,12,512,717,1004,3,4,0
,13,544,762,1067,3,4,0
,14,576,807,1130,3,4,0
,15,608,852,1193,3,4,0
,16,640,896,1255,4,5,0
,17,672,941,1318,4,5,0
,18,704,986,1381,4,5,0
,19,736,1031,1444,4,5,0
,20,768,1076,1507,5,6,0
,21,800,1120,1568,5,6,0
,22,832,1165,1631,5,6,0
,23,864,1210,1694,6,7,0
,24,896,1255,1757,6,7,0
,25,928,1300,1820,6,7,0
,26,960,1344,1882,6,7,0
,27,992,1389,1945,7,8,0
,28,1024,1434,2008,7,8,0
,29,1056,1479,2071,7,8,0
,30,1088,1524,2134,8,9,0
League2,1,192,269,377,1,1,0
,2,224,314,440,1,1,0
,3,256,359,503,1,1,0
,4,288,404,566,1,1,0
,5,320,448,628,1,2,0
,6,352,493,691,1,2,0
,7,384,538,754,1,2,0
,8,416,583,817,2,3,0
,9,448,628,880,2,3,0
,10,480,672,941,3,4,0
,11,512,717,1004,3,4,0
,12,544,762,1067,3,4,0
,13,576,807,1130,3,4,0
,14,608,852,1193,4,5,0
,15,640,896,1255,4,5,0
,16,672,941,1318,4,5,0
,17,704,986,1381,5,6,0
,18,736,1031,1444,5,6,0
,19,768,1076,1507,5,6,0
,20,800,1120,1568,6,7,0
,21,832,1165,1631,6,7,0
,22,864,1210,1694,6,7,0
,23,896,1255,1757,6,7,0
,24,928,1300,1820,7,8,0
,25,960,1344,1882,7,8,0
,26,992,1389,1945,7,8,0
,27,1024,1434,2008,8,9,0
,28,1056,1479,2071,8,9,0
,29,1088,1524,2134,8,9,0
,30,1120,1568,2196,8,9,0
League3,1,224,314,440,1,1,0
,2,256,359,503,1,1,0
,3,288,404,566,1,1,0
,4,320,448,628,1,1,0
,5,352,493,691,1,2,0
,6,384,538,754,1,2,0
,7,416,583,817,1,2,0
,8,448,628,880,2,3,0
,9,480,672,941,3,4,0
,10,512,717,1004,3,4,0
,11,544,762,1067,3,4,0
,12,576,807,1130,4,5,0
,13,608,852,1193,4,5,0
,14,640,896,1255,4,5,0
,15,672,941,1318,5,6,0
,16,704,986,1381,5,6,0
,17,736,1031,1444,6,7,0
,18,768,1076,1507,6,7,0
,19,800,1120,1568,6,7,0
,20,832,1165,1631,6,7,0
,21,864,1210,1694,7,8,0
,22,896,1255,1757,7,8,0
,23,928,1300,1820,7,8,0
,24,960,1344,1882,8,9,0
,25,992,1389,1945,8,9,0
,26,1024,1434,2008,8,9,0
,27,1056,1479,2071,8,9,0
,28,1088,1524,2134,8,9,0
,29,1120,1568,2196,9,10,0
,30,1152,1613,2259,9,10,0
League4,1,256,359,503,1,1,0
,2,288,404,566,1,1,0
,3,320,448,628,1,1,0
,4,352,493,691,1,2,0
,5,384,538,754,1,2,0
,6,416,583,817,1,2,0
,7,448,628,880,2,3,0
,8,480,672,941,3,4,0
,9,512,717,1004,3,4,0
,10,544,762,1067,4,5,0
,11,576,807,1130,4,5,0
,12,608,852,1193,4,5,0
,13,640,896,1255,5,6,0
,14,672,941,1318,5,6,0
,15,704,986,1381,6,7,0
,16,736,1031,1444,6,7,0
,17,768,1076,1507,6,7,0
,18,800,1120,1568,6,7,0
,19,832,1165,1631,7,8,0
,20,864,1210,1694,7,8,0
,21,896,1255,1757,7,8,0
,22,928,1300,1820,8,9,0
,23,960,1344,1882,8,9,0
,24,992,1389,1945,8,9,0
,25,1024,1434,2008,8,9,0
,26,1056,1479,2071,8,9,0
,27,1088,1524,2134,9,10,0
,28,1120,1568,2196,9,10,0
,29,1152,1613,2259,9,10,0
,30,1184,1658,2322,9,10,0
League5,1,288,404,566,1,1,0
,2,320,448,628,1,1,0
,3,352,493,691,1,1,0
,4,384,538,754,1,2,0
,5,416,583,817,1,2,0
,6,448,628,880,2,3,0
,7,480,672,941,3,4,0
,8,512,717,1004,3,4,0
,9,544,762,1067,4,5,0
,10,576,807,1130,4,5,0
,11,608,852,1193,4,5,0
,12,640,896,1255,5,6,0
,13,672,941,1318,5,6,0
,14,704,986,1381,6,7,0
,15,736,1031,1444,6,7,0
,16,768,1076,1507,6,7,0
,17,800,1120,1568,6,7,0
,18,832,1165,1631,7,8,0
,19,864,1210,1694,7,8,0
,20,896,1255,1757,8,9,0
,21,928,1300,1820,8,9,0
,22,960,1344,1882,8,9,0
,23,992,1389,1945,8,9,0
,24,1024,1434,2008,9,10,0
,25,1056,1479,2071,9,10,0
,26,1088,1524,2134,9,10,0
,27,1120,1568,2196,9,10,0
,28,1152,1613,2259,9,10,0
,29,1184,1658,2322,9,10,0
,30,1216,1703,2385,9,10,0
